Getting apps in org BSD-ORION-STG / space VMS as ssaleh932...
OK

name                                                                                 requested state   instances   memory   disk    urls
importexport-stg-generic#VMSTemplateService_VMS_B2_R2ec4b0                           stopped           0/1         2G       1000M   importexport-service-stg.g5.app.cloud.comcast.net
fallout-service-stg-generic#VMSTemplateService_VMS_B2_R6567db                        started           1/1         3G       1000M   fallout-service-stg.g5.app.cloud.comcast.net
vmsinventory-stg-generic#VMSTemplateService_VMS_B2_Re490b2                           started           1/1         2G       1000M   vmsinventory-stg.g5.app.cloud.comcast.net
vms-gui                                                                              started           1/1         128M     1000M   vms-gui.g5.app.cloud.comcast.net, vms-stg.g5.app.cloud.comcast.net
switchactivationprovisioningresponse-stg-generic#VMSTemplateService_VMS_B2_R6c6604   started           1/1         3G       1000M   switchactivationprovisioningresponse-stg.g5.app.cloud.comcast.net
canceldesign-stg-generic#VMSTemplateService_VMS_B2_R9f2c0a                           started           1/1         3G       1000M   canceldesign-stg.g5.app.cloud.comcast.net
vmscustomer-service-stg-generic#VMSTemplateService_VMS_B2_R09986d                    started           1/1         3G       1000M   vmscustomer-service-stg.g5.app.cloud.comcast.net
vmsbvprovisioning-stg-generic#VMSTemplateService_VMS_B2_R1b1dfa                      started           1/1         3G       1000M   vmsbvprovisioning-stg.g5.app.cloud.comcast.net
pdf-stg-generic#VMSTemplateService_VMS_B2_R52e1fd                                    stopped           0/1         3G       1000M   pdf-service-stg.g5.app.cloud.comcast.net
vmscustomer-service-stg-generic#VMSTemplateService_VMS_B2_Re5d080                    stopped           0/1         3G       1000M   vmscustomer-service-stg.g5.app.cloud.comcast.net
e911provisioningresponse-stg-generic#VMSTemplateService_VMS_B2_R22db90               started           1/1         2G       1000M   e911provisioningresponse-stg.g5.app.cloud.comcast.net
vmsgateway-stg-generic#VMSTemplateService_VMS_B2_R399cba                             started           1/1         1G       1000M   vmsgateway-stg.g5.app.cloud.comcast.net
